datetime,open,high,low,close,volume,EMA_fast,EMA_slow,ATR,ADX,DC_upper,DC_lower,trade_type,signals
2018-02-06 05:30:00,6939.63,7878.0,6000.01,7652.14,100201.500307,10144.993072879615,11698.974773133532,1461.5301649085125,55.366436457783124,13099.0,6625.0,HOLD,0
2018-02-07 05:30:00,7655.02,8476.0,7150.01,7599.0,60778.460497,9902.517542129177,11538.191448696924,1451.8487245579045,55.252287867200444,13099.0,6000.01,HOLD,0
2018-02-08 05:30:00,7599.0,7844.0,7572.09,7784.02,1521.537318,9700.755871450208,11390.969038944104,1367.5673870894827,55.14629274737367,13099.0,6000.01,HOLD,0
2018-02-09 05:30:00,7789.9,8738.0,7789.9,8683.92,20482.910825,9603.914359883522,11284.810253103158,1338.0254308688054,53.838755558459624,13099.0,6000.01,HOLD,0
2018-02-10 05:30:00,8683.93,9065.78,8120.0,8533.98,49381.512653,9502.015849418425,11176.934556903036,1310.0079000924623,52.217452603895005,12799.8,6000.01,HOLD,0
2018-02-11 05:30:00,8533.99,8549.0,7726.53,8063.88,45025.187952,9365.050530426195,11054.853986044092,1275.1837643715721,50.96328994964369,12244.0,6000.01,HOLD,0
2018-02-12 05:30:00,8063.82,8989.0,8053.0,8903.0,41987.85049,9321.045718004652,10970.467555218835,1250.9563526307456,49.2411241418156,12244.0,6000.01,HOLD,0
2018-02-13 05:30:00,8903.0,8950.0,8351.0,8539.9,35454.972956,9246.650887718495,10875.15118050437,1204.3880417285495,47.64197017740379,12244.0,6000.01,HOLD,0
2018-02-14 05:30:00,8535.17,9489.6,8533.0,9449.99,40811.952867,9266.01651745959,10819.262506759102,1186.688895890796,45.46686950634209,12244.0,6000.01,HOLD,0
2018-02-15 05:30:00,9449.98,10219.5,9301.5,10000.09,52427.596715,9335.928277701532,10787.138094729333,1167.4968318985964,42.61109217845983,12244.0,6000.01,HOLD,0
2018-02-16 05:30:00,10000.89,10323.37,9666.0,10159.98,38161.205974,9414.409394110911,10762.54365964191,1131.0592010486969,39.845707921059315,12244.0,6000.01,HOLD,0
2018-02-17 05:30:00,10156.07,11075.07,10050.0,11039.55,41882.108407,9569.184689909873,10773.406653381442,1123.4885438309327,37.50158318128815,12244.0,6000.01,HOLD,0
2018-02-18 05:30:00,11039.55,11274.0,10080.0,10383.43,61137.380728,9646.731862299408,10758.113451288053,1128.5250764144375,35.51809874099018,11975.02,6000.01,HOLD,0
2018-02-19 05:30:00,10375.01,11250.0,10270.33,11153.0,40831.417131,9790.185970651844,10773.599198296366,1117.8925709562636,33.676291760713504,11308.42,6000.01,HOLD,0
2018-02-20 05:30:00,11147.11,11786.01,11100.59,11200.99,48153.354288,9924.548259161194,10790.359621892587,1087.0016730308164,32.50337417056074,11274.0,6000.01,HOLD,0
2018-02-21 05:30:00,11195.07,11304.03,10200.0,10437.6,68113.818754,9973.41032971727,10776.525911230134,1088.2179821000439,30.316779493342278,11786.01,6000.01,HOLD,0
2018-02-22 05:30:00,10439.02,10933.44,9679.0,9811.04,67060.166483,9957.946488791815,10738.663718632873,1100.0909833786122,28.56551444518382,11786.01,6000.01,HOLD,0
2018-02-23 05:30:00,9815.55,10435.0,9570.19,10131.04,57202.70237,9974.431585097356,10714.835337510016,1083.2851988515686,27.051652633669942,11786.01,6000.01,HOLD,0
2018-02-24 05:30:00,10131.04,10496.97,9352.0,9694.51,40888.156299,9947.772386516655,10674.82257917629,1087.6912560764565,25.876116238992328,11786.01,6000.01,HOLD,0
2018-02-25 05:30:00,9694.51,9847.0,9274.8,9590.0,28373.517586,9913.698825896023,10632.28051724781,1050.8704520709953,24.868099281369663,11786.01,6000.01,HOLD,0
2018-02-26 05:30:00,9590.0,10444.32,9350.0,10324.0,34878.292756,9952.77512819164,10620.191085198876,1053.9739912087814,23.14733366297769,11786.01,6000.01,HOLD,0
2018-02-27 05:30:00,10321.0,10870.0,10121.0,10569.04,30705.385123,10011.467020744818,10618.185160289117,1032.1901346938685,21.94339639459394,11786.01,7150.01,HOLD,0
2018-02-28 05:30:00,10584.33,11098.0,10300.0,10326.76,30800.983782,10041.494923531027,10606.756722630722,1015.4622679300207,21.085763080498324,11786.01,7572.09,HOLD,0
2018-03-01 05:30:00,10325.64,11060.41,10240.0,10920.0,25092.55393,10125.162073670928,10619.040772723634,1001.5299630778765,20.203785051109705,11786.01,7726.53,HOLD,0
2018-03-02 05:30:00,10923.36,11200.0,10770.0,11039.0,23910.71009,10212.194257130841,10635.509762028589,960.7063942865996,19.558117140318732,11786.01,7726.53,HOLD,0
2018-03-03 05:30:00,11038.99,11544.0,11015.01,11464.48,21287.15328,10331.459565975523,10668.018398811782,929.8695089804139,19.376786746632586,11786.01,7726.53,HOLD,0
2018-03-04 05:30:00,11464.47,11565.0,11050.02,11515.0,17295.918653,10444.177702549283,10701.233363564263,900.2345440532415,19.233980255252373,11786.01,8053.0,HOLD,0
2018-03-05 05:30:00,11515.0,11710.0,11415.01,11454.0,15144.231063,10540.351254687446,10730.753623816645,857.0027909065815,19.2848176222049,11786.01,8351.0,HOLD,0
2018-03-06 05:30:00,11455.0,11455.0,10555.48,10716.48,29515.572363,10557.12542090769,10730.19387386305,860.0397344132543,17.91344609829508,11786.01,8533.0,HOLD,0
2018-03-07 05:30:00,10716.48,10899.0,9389.31,9910.0,50647.67108,10495.49442844029,10698.029408221362,906.4433248123077,18.020410321455326,11786.01,9274.8,HOLD,0
2018-03-08 05:30:00,9910.0,10099.0,9060.0,9271.64,41109.473226,10378.936863826928,10642.09256868327,915.9116587542857,18.44166895115316,11786.01,9274.8,HOLD,0
2018-03-09 05:30:00,9267.07,9410.0,8329.0,9227.0,64112.291407,10269.228591081506,10586.598742460397,927.7036831289795,19.47371394064497,11786.01,9060.0,HOLD,0
2018-03-10 05:30:00,9230.0,9490.0,8667.07,8770.22,37180.012857,10126.465868121362,10515.368203540382,920.2198486197667,20.30192012934547,11786.01,8329.0,HOLD,0
2018-03-11 05:30:00,8770.22,9740.0,8450.0,9533.57,44325.973386,10069.999594966946,10476.866313205464,946.6327165754976,20.658110153201193,11786.01,8329.0,HOLD,0
2018-03-12 05:30:00,9533.57,9888.88,8780.0,9131.34,42230.77793,9980.603443065333,10424.100575432702,958.2218082486763,20.742717634947006,11786.01,8329.0,HOLD,0
2018-03-13 05:30:00,9131.34,9474.0,8823.0,9150.0,40191.409358,9901.498353249586,10374.13584698436,936.2773933737709,20.821281725139546,11710.0,8329.0,HOLD,0
2018-03-14 05:30:00,9151.92,9333.78,7900.28,8170.0,49708.094108,9736.593748178198,10287.69914710262,971.7932938470731,21.815737677528187,11710.0,8329.0,SHORT,-1
